,song_name,lyrics
35,All Things Go Lyrics,"Yo, I had to reinvent, I put the V in vent|-|I put the heat in vents, man I been competin' since|-|I look beyond what people sayin', and I see intent|-|Then I just sit back and decipher, what they really meant|-|Cherish these nights, cherish these people|-|Life is a movie, but there will never be a sequel|-|And I'm good with that, as long as I'm peaceful|-|As long as 7 years from now, I'm taking my daughter to preschool|-|Cherish these days, man do they go quick|-|Just yesterday, I swear it was '06|-|Ten years ago, that's when you proposed|-|I look down, yes I suppose|-|All things go, all things go|-|All things go, all things go|-|I feel one minute, yeah we got it then it's gone|-|While we keep waiting for a moment 'til it falls|-|So can't nobody ever tell me that I'm wrong|-|Cause I'mma ride I'm with you still the night is young|-|We keep goin', we go, we go, we go|-|We wake back up and do it all again|-|We know, we know, say fuck the world, we ridin' til the end|-|When all is said and done, look at what we've become|-|I just want you to know, that I did it for you|-|I lost my little cousin to a senseless act of violence|-|His sister said he wanted to stay with me, but I didn't invite him|-|Why didn't he ask, or am I just buggin'?|-|Cause since I got fame, they don't act the same|-|Even though they know that I love him|-|Family ties broken before me, niggas trynna kill him, he ain't even call me|-|And that's the reflection of me, yes I get it, I get it, it was all me|-|I pop a pill and remember the look in his eyes, the last day he saw me|-|All things go, all things go|-|All things go, all things go|-|I feel one minute, yeah we got it then it's gone|-|While we keep waiting for a moment 'til it falls|-|So can't nobody ever tell me that I'm wrong|-|Cause I'mma ride I'm with you still the night is young|-|We keep goin', we go, we go, we go|-|We wake back up and do it all again|-|We know, we know, say fuck the world, we ridin' til the end|-|When all is said and done, look at what we've become|-|I just want you to know, that I did it for you|-|Let me make this clear I'm not difficult, I'm just about my business|-|I'm not into fake industry parties, and fake agendas|-|Rock with people for how they make me feel not what they give me|-|Even the ones that hurt me the most, I still show forgiveness|-|I love my mother more than life itself, and that's a fact|-|I'd give it all, if I could somehow, just rekindle that|-|She never understands, why I'm so overprotective|-|The more I work, the more I feel like, somehow they're neglected|-|I want 'Caiah to go to college, just to say ""We did it!""|-|My child with Aaron, would've have been sixteen, any minute|-|So in some ways I feel like 'Caiah, is the both of them|-|It's like he's 'Caiah's little angel, looking over him|-|And I know Jelani will always love me, and I'll always love him|-|And I'm just his little sister not Nicki Minaj when I'm around him|-|Yeah we did it, let's leave this imprint|-|Just finished writing, this is The Pinkprint|-|All things go, all things go|-|All things go, all things go|-|I feel one minute, yeah we got it then it's gone|-|While we keep waiting for a moment 'til it falls|-|So can't nobody ever tell me that I'm wrong|-|Cause I'mma ride I'm with you still the night is young|-|We keep goin', we go, we go, we go|-|We wake back up and do it all again|-|We know, we know, say fuck the world, we ridin' til the end|-|When all is said and done, look at what we've become|-|I just want you to know, that I did it for you"
36,I'm Legit Lyrics,"I'm shit with no makeup, don't have to curl my hair up|-|All this booty here, mine, I'm a dollar worth a dime|-|Real bosses stand up, ladies throw your hands up and say|-|""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!""|-|I'm legit with no makeup, don't have to curl my hair up|-|All this booty here, mine, I'm a dollar worth a dime|-|Real bosses stand up, ladies throw your hands up and say|-|""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!""|-|Beat em' like they stole some, beat em' like they stole some|-|All this booty here got 'em dreaming, lemme hold some|-|Let me, let me hear that boy, let me, let me wear that boy|-|Let me get the most expensive car, and let me steer that boy|-|Real big pretty titty, shut down every city|-|If you want the kid kitty, gotta get the key from me|-|All new everything, plus pay the rent for me|-|If we in the wilderness, niggas pitch the tent for me|-|Tent for me, tent for me, get me bodied|-|Long hair, no makeup, doing pilates|-|Those niggas don't step on my damn Zanottis|-|All them bitches my sons but who's the Daddy?|-|I graduate with honors, I ball, 'Nead O'Connor|-|I did a freestyle, then I got a shout out from Obama|-|Yes, yes, I am ill I go in for the kill|-|Hoes is my sons, birth control, I am on the pill|-|What I gotta do? What I gotta do to 'em?|-|Step up in the club, everybody like who them?|-|Girls girls, me and my girls|-|What you done did? I need some referrals|-|Motherfuckers know I'm the shit, legit|-|And if a motherfucker don't he can suck my dick|-|I tell 'em, ""Everybody else is my opposite!""|-|I put 'em on the game, give 'em five percent|-|I'm shiit with no makeup, don't have to curl my hair up|-|All this booty here, mine, I'm a dollar worth a dime|-|Real bosses stand up, ladies throw your hands up and say|-|""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!""|-|I'm shit with no makeup, don't have to curl my hair up|-|All this booty here, mine, I'm a dollar worth a dime|-|Real bosses stand up, ladies throw your hands up and say|-|""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!""|-|I'm like really famous, I got a famous anus|-|No, not Famous Amos, all this fame is heinous|-|Lemme, lemme hear that boy, lemme, lemme wear that boy|-|All this money coming in, but I never share that, boy|-|No lipstick, no lashes though|-|But I got a real big ol' ratchet, though|-|I said dude, yo dude, you packing dough|-|He said he want a good box like Pacquiao|-|I said, ""Well, my name Nicki and it's nice to meet you.""|-|If you really wanna know, I'll give you my procedure|-|Got a whole bunch of pretty gang in my clique|-|And we lookin' for some ballers, alopecia|-|I hate wack niggas, I should really slap niggas|-|These niggas trippin' when I put 'em on the map niggas|-|How you gon' break fly? How you gon' fake die?|-|Ain't at no wedding but all my girls cake, ha!|-|Sleeping on me, no mattress though|-|I'm a burn the beat down, no matches though|-|No they can't keep up? They molasses slow|-|I'm the greatest Queens bitch, with the cashes flow|-|Looking at me like it's my fault|-|Trying to take sneak pictures with they iPhone|-|I like independent bitches like July 4th|-|Now that's what young Harriet died for|-|I'm shit with no makeup, don't have to curl my hair up|-|All this booty here, mine, I'm a dollar worth a dime|-|Real bosses stand up, ladies throw your hands up and say|-|""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!""|-|I'm shit with no makeup, don't have to curl my hair up|-|All this booty here, mine, I'm a dollar worth a dime|-|Real bosses stand up, ladies throw your hands up and say|-|""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!"""
37,Pound The Alarm Lyrics,"Oh, oh, oh, come fill my glass up a little more|-|We 'bout to get up and burn this floor|-|You know we getting hotter and hotter|-|Sexy and hotter, let's shut it down|-|Yo, what I gotta do to show these girls that I own them|-|Some call me Nicki and some call me Roman|-|Skeeza, pleeza, I'm in Ibiza (whoa)|-|Giuseppe Zannotti my own sneaker|-|Sexy, sexy that's all I do|-|If you need a bad bitch|-|Let me call a few|-|Pumps on and them little mini skirts is out|-|I see some good girls, I'm a turn 'em out|-|Ok bottle, sip, bottle, guzzle|-|I'm a bad bitch, no muzzle, what?|-|Bottle, sip, bottle, guzzle|-|I'm a bad bitch, no muzzle, let's go|-|Music, makes me, high|-|Oh, oh, oh, come fill my glass up a little more|-|We 'bout to get up and burn this floor|-|You know we getting hotter and hotter|-|Sexy and hotter, let's shut it down|-|Pound the alarm!|-|Pound the alarm!|-|I wanna do it for the night, night|-|So get me now and knock this over|-|I wanna do it like you, like, like|-|Come get me, baby, we're not getting younger|-|I just want you tonight, night|-|Baby, we won't do it for life, life|-|Oh-ohh|-|Music, makes me, high|-|Oh, oh, oh, come fill my glass up a little more|-|We 'bout to get up and burn this floor|-|You know we getting hotter and hotter|-|Sexy and hotter, let's shut it down|-|Pound the alarm!|-|Pound the alarm!|-|The alarm!|-|The alarm!|-|The alarm!|-|The alarm!|-|Oh, oh, oh, come fill my glass up a little more|-|We 'bout to get up and burn this floor|-|You know we getting hotter and hotter|-|Sexy and hotter, let's shut it down|-|Pound the alarm!|-|Pound the alarm!|-|Pound the alarm!"
38,Right Through Me Lyrics,
39,Roman's Revenge Lyrics,"I am not Jasmine, I am Aladdin|-|So far ahead, these bums is lagging|-|See me in that new thing, bums is gagging|-|I'm starting to feel like a dungeon dragon|-|Rah, rah, like a dungeon dragon|-|I'm starting to feel like a dungeon dragon|-|Look at my show footage, how these girls be spazzing|-|So fuck I look like getting back to a has-been|-|Yeah, I said it, has-been|-|Hang it up, flatscreen, haha, plasma|-|Hey Nicki, hey Nicki, asthma|-|I got the pumps, it ain't got medicine|-|I got bars, sentencing|-|I'm a bad bitch, I'm a cunt|-|And I'll kick that hoe, punt|-|Forced trauma, blunt|-|You play the back, bitch, I'm in the front|-|You need a job, this ain't cutting it|-|Nicki Minaj is who you ain't fucking with|-|You lil' brag a lot, I beat you with a pad-a-lock|-|I am a movie, camera block|-|You outta work, I know it's tough|-|But enough is enough|-|Rah, rah, like a dungeon dragon|-|Rah, rah, like a dungeon dragon|-|Rah, rah, like a dungeon dragon|-|Like a dungeon dragon, like a dungeon dragon|-|Rah, rah, like a dungeon dragon|-|Rah, rah, like a dungeon dragon|-|Rah, rah, like a dungeon dragon|-|Like a dungeon dragon, like a dungeon dragon|-|Rah! I eat your face off|-|You niggas sweet as pie like this is a bake off|-|I love Nicki's curves, swing at the baseball|-|I beat your brakes off|-|H-H-Hi, I'm Tune', salt in the wound|-|I'm up in this bitch, pardon the goons|-|Throw dirt on the floor and get caught in the broom|-|I like a big wet pussy with a fork and a spoon|-|I got money and the power|-|A woman in the shower|-|And she don't want nothin' but my johnson, Howard|-|Sour D's and a swisher sweet, sweet and sour|-|You scared? Go to church, say your prayers, read a Bible|-|Huh, I don't know what y'all on|-|Please, I go in like goin'|-|Drink drink in my hand with the world in the other|-|The uzi go ""brrrrrrr"", stutter|-|Ha, life is a puzzle, jigsaw|-|All I do is win, my name should be ""Victor""|-|Old-ass rappers, I'm still the shit, old-ass Pampers|-|Rah, rah, like a dungeon dragon|-|Foie gras, I hear you ducks is quackin'|-|I'm just pluckin' my ashes, I'ma puff it and pass it|-|I'm a fuckin' assassin, you should jump in a casket|-|(I-I-I-I-Is) Is this the thanks that I get for putting you bitches on?|-|Is it my fault that all of you bitches gone?|-|Shoulda sent a thank you note, you little ho|-|Now I'ma wrap your coffin with a bow|-|""N-N-N-Nicki, she's just mad 'cause you took the spot""|-|Word, that bitch mad 'cause I took the spot?|-|Well, bitch, if you ain't shitting, then get off the pot|-|Got some niggas out in Brooklyn that'll off your top|-|I-I-I-I hear them mumbling, I hear the cackling|-|I got 'em scared, shook, panicking|-|Overseas, church, Vatican|-|You at a stand, still, mannequin|-|You wanna sleep on me? Overnight?|-|I'm the motherfucking boss, overwrite|-|And when I pull up, vroom, motorbike|-|Now all my niggas gettin' bucked, overbite|-|I see them dusty-ass Filas, Levi's|-|Raggedy-ass, holes in your knee-highs|-|I call the play, now do you see why?|-|These bitches calling me Manning, Eli|-|(Manning, Eli!)|-|Ma-ma-ma-ma-ma-Manning, Eli|-|These bitches calling me (Manning, Eli)|-|Rah, rah, like a dungeon dragon|-|Rah, rah, like a dungeon dragon|-|Rah, rah, like a dungeon dragon|-|Like a dungeon dragon, like a dungeon dragon|-|Rah, rah, rah, like a dungeon dragon|-|Rah, rah, rah, like a dungeon dragon|-|Rah, rah, rah, like a dungeon dragon|-|Like a dungeon dragon, like a dungeon dragon|-|Roman, Roman!|-|Stop it, stop it!|-|You've gone mad, mad I tell you, mad!|-|You and this boy, Lil' Weezy!|-|What's going on?|-|They'll lock you away!|-|They'll put you in a jail cell!|-|I promise, take your mother's warning, Roman, please!|-|Back to bed|-|Run along, let's go, c'mon!|-|Watch your mouth, that was not nice!"
40,Buy A Heart Lyrics,"Anybody wanna buy a heart?|-|Anybody wanna buy a heart?|-|Anybody wanna buy a heart?|-|Cause I don't use the shit anyway|-|But okay, I guess it's my fault|-|Westside shorty, with an eastside nigga|-|They say it's levels to this shit, I'm a G5 nigga|-|And every city I be in, you know she fly with us|-|It's like Hov got Bey, it's like Bey got Jigga|-|Really though let me take y'all back|-|'09, double R drop top with the top down|-|Pulled up, double parked, hopped out, tried to spit my game|-|It didn't work, got shot down|-|But I can tell by the bag, by the wrist, by the ring on that|-|Somebody had it on lockdown|-|The moral of the story not to speak on that|-|She on the team, shorty mine now|-|And we don't ever ever ever make love|-|And we don't ever ever ever say ""love""|-|Unless I'm all up in it, she tellin' me she love that D on that, I don't ever say|-|uh|-|Bad bitch, ain't nothin' made up|-|Anybody, anybody, anybody wanna buy|-|The heart from a real one from Philly reppin' that north side?|-|Anybody? Anybody?|-|Anybody, anybody, anybody wanna who's heart?|-|Anybody, anybody, anybody wanna buy love?|-|(Anybody, anybody, anybody wanna buy a heart?|-|Anybody, anybody, anybody wanna buy trust)|-|Anybody, anybody, anybody wanna buy a heart?|-|Anybody, anybody, anybody wanna buy love?|-|Anybody, anybody, anybody wanna buy?|-|Anybody, anybody, anybody wanna buy love?|-|Rahmeek, I'mma have to tell the truth if I speak|-|Unless you want to play, you ain't say this the other day|-|You said you was in love, and I still didn't budge|-|Cause I already seen how you be going in when you be in them clubs|-|(I'm not even sure if this is right but, it feels good)|-|I could tell you was analyzing me, I could tell you was criticizing me|-|I could tell you was fantasizing that you would come slide in me and confide in me|-|He could tell that I was wifey material|-|He was liking my style in my videos|-|I wasn't looking for love I was looking for a buzz|-|So at times I would lie and say I'm busy, yo|-|Cause its too much, and its too clutch|-|Who wants rumors of the two of us|-|But when you're away I can't get you out of my mind|-|But what if I met the one and your wasting your time|-|But you waited|-|Anybody? Anybody?|-|Anybody, anybody, anybody wanna buy a heart?|-|Anybody, anybody, anybody wanna buy love?|-|(Anybody, anybody, anybody wanna buy a heart?|-|Anybody, anybody, anybody wanna buy trust)|-|Anybody, anybody, anybody wanna buy a heart?|-|Anybody, anybody, anybody wanna buy love?|-|Anybody, anybody, anybody wanna buy?|-|Anybody, anybody, anybody wanna buy love?|-|Its a heart for sale who's buying|-|I don't care who's crying|-|Its trust for sale who's buying|-|I don't care who's lying"
41,Regret In Your Tears Lyrics,"I just want the memories|-|I'm with you|-|Regret in your tears, now you taste 'em|-|'Cause you know I don't chase, I replace 'em|-|Don't rush, take time, take some|-|I just want the memories, tried to make some with you|-|You|-|Now I gotta erase some with you|-|You|-|Look at you now, stuck in the background|-|Silence right now sounds so loud|-|Tried to let you go, you come back 'round|-|Look at you now, stuck in the background|-|Two seats in my two seater-er-er|-|Used to pull off on me, leave me hurt|-|Tryna front, but I know you do your dirt|-|Not nice, boy you know you do your dirt|-|Regret in your tears, now you taste 'em|-|'Cause you know I don't chase, I replace 'em|-|Don't rush, take time, take some|-|I just want the memories, tried to make some with you|-|You|-|Now I gotta erase some with you|-|You|-|Baby now you know you got nerve|-|I know you just wanna be heard|-|I'm a bad bitch, you ain't used to that|-|You gon' fuck around and make me do you bad|-|Used to creep, creep, with you through the back|-|I count up the cash and bring you the bag|-|I count up the racks like Serena|-|Plus I got that ass like Selena|-|And you know nah-nah-nah-nah-nah, not a bitch|-|That's gon' care, care, hold you down and love you like this|-|Drop down, turn around, baby show you like this|-|Won't find another one to ride it like a soldier like this|-|Regret in your tears, now you taste 'em|-|'Cause you know I don't chase, I replace 'em|-|Don't rush, take time, take some|-|I just want the memories, tried to make some with you|-|You|-|Now I gotta erase some with you|-|You|-|Yeah, and they say big girls don't cry|-|Maybe I cried|-|The real ones don't lie|-|Baby you lied|-|I don't know what to do with you|-|Baby now I'm through with you|-|'Cause you don't even know what you just lost|-|You don't even know what you just had|-|You don't even know, and that's what's bad|-|Money bag long, that bitch bad|-|Used to lay up in them sheets, they were snow white|-|Now you spendin' cold nights|-|You've been in the wrong so long|-|You don't even know right|-|Call my line, call my line, I'm like, ""Please, boy""|-|You just need to leave, boy|-|I ain't got time for you|-|Just once, do somethin' for me, boy|-|Regret in your tears, now you taste 'em|-|'Cause you know I don't chase, I replace 'em|-|Don't rush, take time, take some|-|I just want the memories, tried to make some with you|-|You|-|Now I gotta erase some with you|-|You|-|Tried to make some with you, you|-|With you, you|-|I tried to make some with you|-|I tried to make some with you|-|I tried to make some with you|-|I tried to make some with you|-|I tried to make some with you, baby|-|Make some with you|-|Too picky when I make some with you|-|You said you would save me|-|You said you would save me|-|Hahahaha, rrrrrr|-|Ohhhh, woooh"
42,Save Me Lyrics,"I drove for miles|-|just to find you|-|and find myself|-|all these screams|-|all these voices in my head|-|you gave me strength|-|gave me hope|-|for a lifetime|-|I never was satisfied|-|This time won't you save me?|-|This time won't you save me?|-|Baby I can feel myself givin' up|-|Givin' up|-|This time won't you save me?|-|This time won't you save me?|-|Baby I can feel myself givin' up|-|Givin' up|-|Givin' up|-|Givin' up|-|Givin' up|-|It's not your fault|-|I'm a bitch|-|I'm a monster|-|Yes I'm a beast|-|And I feast when I conquer|-|But I'm alone|-|On my throne|-|All these riches|-|I came this way|-|All this way|-|Just to say|-|This time won't you save me?|-|This time won't you save me?|-|Baby I can feel myself givin' up|-|Givin' up|-|This time won't you save me?|-|This time won't you save me?|-|Baby I can feel myself givin' up|-|Givin' up|-|Givin' up|-|Givin' up|-|I'm givin' up baby|-|Yes...|-|I'm givin' up baby|-|(Feels like I've been driving for miles, and I can't seem to silence these voices|-|in my head)|-|This time won't you save me?|-|Who save me?|-|This time won't you save me?|-|Who save me?|-|This time won't you save me?|-|This time won't you save me?|-|Baby I can feel myself givin' up|-|Givin' up|-|This time won't you save me?|-|This time won't you save me?|-|Baby I can feel myself givin' up|-|Givin'up|-|This time won't you save me?|-|This time won't you save me?|-|Baby I can feel myself givin' up|-|Givin' up|-|Givin' up"
43,Warning Lyrics,"Who the hell is this|-|Callin me at 12: 47 in the night|-|While I'm watchin the fight?|-|Lookin at the phone it's no name in sight|-|Blocked ID, knew somethin just wasn't right|-|It's my girl Kandi from out in Miami|-|Tellin me that my man with some bitch in a Camry|-|Car seat in the back like he started a family|-|Yo Kan stop playin what the fuck is you sayin?|-|Remember them chicks from da Brick 'round nine six|-|That we seen when we hit a lick by the projects?|-|Oh, you mean Leah, little sister Maria|-|I use to go see her in front of the Pizzeria|-|I didn't say them, they schooled to some bitch that you knew from|-|back when some bitch named Kim|-|Light skinned flim use to rock a low rim.|-|Followed them to the crib, but the lights real dim|-|They hit me on the chirp warning me now I'm warning you|-|What's it gonna be?|-|Nicki tell me what you wanna do|-|Damn I'm a have to send her to her maker I'm a send her to her maker They heard about his good sex and long erections|-|Nice complexion, Magnums for protection|-|They even heard about his tongue game|-|How the nigga gave brain ain't stopped 'til the cum came|-|But that's words of Hip Hop I popped the bitch top, like a corona|-|CALL A CORINA, it's gonna be a lot of black dresses and chest vest's|-|if I find out he got a next Mrs.|-|What you think all the goons is for|-|Two by the door a few more out in New York|-|And I feel 'em curry chicken, I'm all about my green NA MEAN? Got|-|some fat bitches in the kitchen|-|I got a spot like OX and we cook OX tail got a scale for what's in|-|the mail|-|I got whatever on my nigga Pail, But if the nigga bail|-|I'll have 'em sleepin with some killa whales|-|Damn bitches wanna fuck with my man on the other hand things ain't|-|always what you plan|-|It's the ones up in ya Prom picture|-|So long with'cha|-|Now they wanna creep in ya mans jeep|-|I bet you Nicki won't sleep|-|Cause I'm a put the heat to ya beak, you'll bird like TWEET TWEET|-|And watch you smoke like a cigarette|-|Shoulda left the bitch a pack of Nicorette|-|Leave all them foul bitches wet|-|I give a fuck about you and ya bum crew|-|Mami I'm the truth they salute when I come threw|-|I'm not runnin bitch I bust my gun and hold on I hear somebody comin|-|POLICE OPEN UP!|-|Shit, that bitch Kandi set me up yo|-|Pass the A.R. lemme let these cowards have it"
44,No Flex Zone Lyrics,"Hell no you can't use my lip gloss|-|Pop a perc' now I'm on lift off|-|Ass still fat, it's on Rick Ross|-|You bitches, make a nigga dick soft|-|Bitch ball like I'm at tip off|-|Get it wet, then I rub the tip on|-|Rag and bone jeans I can slip off|-|Bitch I've been hot since flip phones|-|Running this game for 5 years|-|Guess that's why my feet hurt|-|Wonder when they bite me|-|Do these bitches' teeth hurt?|-|Yes I am an icon, that's me on your T-shirt|-|Thought You Knew Better|-|Do your fucking research|-|You ain't know this the no rip zone|-|This the ""You can't beat Nick"" zone|-|Madison Square when the Knicks home|-|I live next door to Brad Pitt's home|-|I like bad bitches, cause they like bad bitches too|-|I like hood niggas with a bad attitude|-|They could never reach Young Nic's magnitude|-|Even if they had a longitude latitude|-|Listen up ho this is my territory|-|You are my son, like an episode of Maury, like an episode of ER|-|Bitch I'm hotter than the D.R|-|When it comes to rap skill, ain't nobody wanna see her|-|Motherfuckers flexin, motherfuckers acting|-|Bitches is my sons and they causin' contractions|-|Ain't pushing out I'm a give them to the clinic|-|Cah wait, we nuh rate dem gyal and dem gimmick|-|Wack sauce I can hear it in your tone|-|This nigga keep staring at my phone|-|But if you're ugly it's a no text zone, it's a no sex zone, it's a no flex zone|-|Wack sauce I can hear it in your tone|-|This nigga keep staring at my phone|-|But if you're ugly it's a no text zone, it's a no sex zone, it's a no flex zone"
45,I'm the Best Lyrics,"It was back in '07|-|did a couple of tapes|-|did a couple DVD's|-|made a couple mistakes|-|didn't know what i was doing, but I put on a cape|-|now it's which world tour should I go on and take|-|See you told me i would lose but i won|-|i might cop a million Jimmy Choo's just for fun|-|cause bitches couldn't take what was in me|-|Australia, Sydney|-|might run up in Disney|-|out in L.A. with Lindsey|-|Got the eye of the tiger, the lion of Judah|-|now it's me in my time, it's just me in my prime|-|everything I'm tried to teach em|-|they gone see it in time|-|tell them bitches get a stick|-|I'm done leadin' the blind|-|got two shows tonight|-|that's Brooklyn and Dallas|-|then a private party at the Buckingham palace|-|which means i gotta fly like a movie no commercial|-|that's Young Money, Cash Money ya I'm universal|-|I hear they comin' for me|-|because the top is lonely|-|what the fuck they gon' say|-|what the fuck they gon' say|-|I'm the best bitch doin' it, doin' it|-|I'm the best bitch doin' it, doin' it|-|I'm the best, best, best, best|-|I'm the best, best, best, best|-|I'm the best!|-|I remember when i couldn't buy my mother a couch|-|now i'm sittin' at the closin' bought my mother a house|-|you could never understand why i grind like i do|-|Mikiyah and Gulani while i grind like i do|-|C-c-c-cause even when my daddy was on crack, i was cracked|-|now the whole album crack you ain't gotta skip a track|-|i ain't gotta get a plaque, I ain't gotta get awards|-|i just walk up out the door all the girls will applaud|-|All the girls will come in, as long as they understand|-|that i'm fighting for the girls, that never thought they could win|-|cause before they could begin you told'em it was the end|-|but I am here to reverse the curse that they live in|-|got two bones to pick|-|I 'ma only choose one|-|you might get addressed on the second album|-|which means you can breath|-|tell that motherfucker say so|-|to all my bad bitches|-|I can see your halo|-|I hear they comin' for me|-|because the top is lonely|-|what the fuck they gon' say|-|what the fuck they gon' say|-|I'm the best bitch doin' it, doin' it|-|I'm the best bitch doin' it, doin' it|-|I'm the best, best, best, best|-|I'm the best, best, best, best|-|I'm the best!|-|Ah, it's ok|-|it's ok|-|long as you know|-|long as you know|-|long as you motherfuckers know|-|I'm the best, best, best, best|-|I hear they comin' for me|-|because the top is lonely|-|what the fuck they gon' say|-|what the fuck they gon' say|-|I'm the best bitch doin' it, doin' it|-|I'm the best bitch doin' it, doin' it|-|I'm the best, best, best, best|-|I'm the best, best, best, best|-|I'm the best!"
46,Favorite Lyrics,"I don't want no drama|-|I just wanna be your diamond, babe|-|Guaranteed to be a problem|-|Every time I get around you, babe|-|I just want you to need me|-|You might really wanna try me, babe|-|All I know I want a rider|-|All I know I want a rider, babe|-|You know that you need a rider|-|You know that you need a rider, babe|-|You know that you need a rider|-|You know that you need a rider, babe, ah yeah...|-|Yo, I just wanna be ya rider|-|You should pull up in that Spider|-|You should let me hit the mic|-|And I ain't talking about the fighter|-|Get it lit without a lighter|-|Let's pull an all-nighter|-|Tell me-tell me what you need, got the weed|-|I'm a bad lil bitch and I never indict her|-|Get locked, I'mma write ya|-|You on the road? I'mma Skype ya|-|I don't wanna hype ya|-|But you a lucky nigga if my mean ass like ya|-|You ain't never have a bitch understand you|-|Most of them wanna use you when they ran through|-|I just wanna be somebody, that can add to|-|Your wife, be a friend, be a teacher and a fan too|-|I just wanna listen|-|When you leave I say ""damn, I fucking miss him""|-|I just wanna be your vixen|-|Give you something real wet, to put your lips in|-|I wanna be the only one that can check you, and still respect you|-|Cause it's you I would change for, you always make sure|-|I just wanna be your favorite|-|I just wanna be your favorite|-|I just wanna be your favorite|-|I just wanna be your favorite|-|Won't you let me be your favorite?|-|Ayo, I just wanna be your first go to|-|Treat me like a real one s'posed to, livin' bi-coastal|-|Scoop me in the truck, late night, wanna humble|-|Meet me out in Queens, where the city want a sundown|-|You could put your gun down, you could have fun now|-|You could tell you niggas that you won now, one down|-|Run through the clubs with the baddest|-|Bitches is the maddest, nothin' else matters|-|And they say Berkin where the bag is|-|Gotta lot of bags, but we never got baggage|-|Went to Wonderland on my hands, call me Alice, balance|-|I'mma have you coming in my palace|-|London, Tokyo, Paris, let me update your status|-|Cause it's you I would change for, you always make sure|-|I just wanna be your favorite|-|I just wanna be your favorite|-|I just wanna be your favorite|-|I just wanna be your favorite|-|Won't you let me be your favorite?|-|You should already know|-|You should already know|-|You should already know|-|You should already know|-|(You know that you need a rider|-|You know that you need a ride, babe|-|You know that you need a rider|-|You know that you need a rider, babe, ayy|-|I just wanna be your favorite|-|I just wanna be your favorite)|-|You should already know, you should already know|-|(I just wanna be your favorite)|-|You should already know, you should already know|-|(I just wanna be your favorite)"
47,Turn Me On Lyrics,"Doctor, doctor, need you back home in bed|-|Doctor, doctor, where you at?|-|Give me something|-|I need your love|-|I need your love|-|I need your loving|-|You got that kind of medicine that keeps me comin'|-|My body needs a hero|-|Come and save me|-|Something tells me you know how to save me|-|I've been feeling real low.|-|Oh, I need you to come and rescue me|-|Oh!|-|Make me come alive|-|Come on and turn me on|-|Touch me, save my life|-|Come on and turn me on|-|I'm too young to die|-|Come on and turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|Make me come alive|-|Come on and turn me on|-|Touch me, save my life|-|Come on and turn me on|-|I'm too young to die|-|Come on and turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|Oh, you make it, make it right|-|My temperature is super high|-|If I scream, if I cry|-|It's only 'cause I feel alive|-|My body needs a hero|-|Come and save me|-|Something tells me you know how to save me|-|I've been feeling real low,|-|Oh, I need you to come and rescue me|-|Oh!|-|Make me come alive|-|Come on and turn me on|-|Touch me, save my life|-|Come on and turn me on|-|I'm too young to die|-|Come on and turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|Make me come alive|-|Come on and turn me on|-|Touch me, save my life|-|Come on and turn me on|-|I'm too young to die|-|Come on and turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|You've got my life in the palm of your hands (palm of your hands)|-|Come and save me now|-|I know you can, I know you can|-|D-d-d-d-don't let me die young, I just want you to father my young|-|I just want you to be my doctor, we can get it crackin' chiropractor, I, I, I, I|-|I, I, I, I know you can save me|-|And make me feel alive|-|Make me come alive|-|Come on and turn me on|-|Touch me, save my life|-|Come on and turn me on|-|I'm too young to die|-|Come on and turn me on|-|Turn me on|-|Turn me on|-|Turn me on|-|Turn me on"
